id_escopo_autuacao,id_uf,id_amparo_legal,id_infracao,date,quantidade_autos
3,9,4,4,2021-02-01,400
3,10,4,3,2021-02-01,17
3,9,4,3,2021-03-01,406
3,3,4,5,2021-04-01,930
3,9,4,3,2021-04-01,353
1,5,4,6,2021-05-01,5
1,11,4,6,2021-05-01,1
3,1,4,3,2021-05-01,6
3,6,4,5,2021-05-01,91
1,3,4,6,2021-06-01,2
3,9,4,4,2021-06-01,353
1,8,4,6,2021-07-01,1
3,3,4,3,2021-01-01,69
3,11,4,4,2021-01-01,113
3,5,4,5,2021-02-01,347
3,11,4,3,2021-02-01,61
3,11,4,4,2021-02-01,154
3,3,4,3,2021-03-01,103
1,10,4,6,2021-04-01,1
3,8,4,3,2021-04-01,73
3,12,4,5,2021-04-01,535
3,6,4,4,2021-05-01,32
3,10,4,5,2021-06-01,82
3,11,4,3,2021-06-01,189
3,8,4,5,2021-07-01,670
2,3,1,1,2021-07-01,63
3,10,4,4,2021-07-01,77
3,8,4,5,2021-08-01,561
3,9,4,3,2021-08-01,350
1,5,4,7,2021-09-01,1
3,11,4,4,2021-09-01,30
3,3,4,3,2021-10-01,102
3,5,,2,2021-10-01,3
3,9,4,3,2021-10-01,461
2,3,1,1,2021-11-01,193
3,10,4,4,2021-11-01,46
3,7,4,4,2021-12-01,49
3,8,4,4,2021-12-01,72
2,3,1,1,2022-01-01,136
3,9,4,3,2022-01-01,459
1,8,4,8,2021-08-01,1
3,9,4,4,2021-08-01,260
3,11,4,4,2021-08-01,144
1,9,4,8,2021-09-01,2
3,7,4,3,2021-09-01,70
3,8,4,3,2021-09-01,162
1,12,4,6,2021-10-01,2
3,11,4,4,2021-10-01,141
3,4,4,3,2021-11-01,58
3,8,4,3,2021-11-01,124
1,3,4,6,2021-12-01,1
1,5,4,6,2021-12-01,1
3,8,4,3,2021-12-01,103
3,10,4,4,2021-12-01,23
3,11,4,5,2021-12-01,272
2,7,1,1,2022-01-01,899
3,4,4,5,2022-01-01,353
3,11,4,4,2022-01-01,353
3,11,4,5,2021-02-01,626
3,5,4,3,2021-03-01,33
3,8,4,5,2021-03-01,363
3,4,,2,2021-05-01,3
3,4,4,4,2021-05-01,99
3,4,4,5,2021-05-01,562
2,3,1,1,2021-06-01,415
1,5,4,6,2021-01-01,2
3,6,4,4,2021-01-01,41
3,10,4,3,2021-01-01,10
2,3,1,1,2021-03-01,631
3,9,4,4,2021-03-01,453
2,3,1,1,2021-04-01,385
2,9,1,1,2021-04-01,4152
3,4,4,5,2021-04-01,248
3,6,4,5,2021-04-01,103
1,8,4,6,2021-05-01,1
3,3,4,3,2021-05-01,157
3,3,4,5,2021-05-01,1170
3,4,4,3,2021-05-01,19
3,5,,2,2021-05-01,1
3,9,4,5,2021-05-01,3110
3,10,4,4,2021-05-01,72
3,12,4,4,2021-05-01,45
3,1,4,3,2021-06-01,1
3,4,4,5,2021-06-01,92
3,5,4,3,2021-01-01,57
3,8,4,4,2021-01-01,58
1,9,4,6,2021-03-01,1
1,11,4,6,2021-03-01,1
3,11,4,4,2021-03-01,207
1,9,4,7,2021-04-01,1
1,9,4,8,2021-04-01,1
3,10,4,5,2021-04-01,792
3,12,4,3,2021-05-01,55
2,9,1,1,2021-06-01,4073
3,5,4,4,2021-06-01,653
2,4,1,1,2021-07-01,437
3,4,,2,2021-07-01,5
3,5,4,5,2021-07-01,1564
3,6,4,3,2021-07-01,1
2,5,1,1,2021-07-01,1023
1,9,4,7,2021-09-01,4
2,12,1,1,2021-09-01,2301
3,4,4,5,2021-09-01,358
3,12,4,5,2021-10-01,326
2,7,1,1,2021-11-01,12
3,5,4,5,2021-11-01,711
1,3,4,7,2021-12-01,1
3,3,4,4,2022-01-01,96
3,7,4,3,2022-01-01,26
3,11,4,5,2022-01-01,677
3,10,4,3,2021-07-01,86
3,11,4,4,2021-07-01,204
1,8,4,6,2021-08-01,2
2,12,1,1,2021-08-01,1614
3,10,4,5,2021-08-01,443
1,8,4,8,2021-09-01,1
2,5,1,1,2021-09-01,3363
3,3,4,3,2021-09-01,65
3,5,4,4,2021-09-01,434
3,12,4,4,2021-09-01,134
2,12,1,1,2021-10-01,1442
1,9,4,6,2021-11-01,4
3,8,4,4,2021-11-01,101
3,8,4,5,2021-11-01,157
3,11,4,3,2021-11-01,193
3,3,4,3,2021-12-01,124
3,7,4,3,2021-12-01,77
1,9,4,6,2022-01-01,4
3,5,4,5,2022-01-01,754
3,8,4,5,2022-01-01,44
2,5,1,1,2021-06-01,1744
3,8,4,3,2021-06-01,125
3,3,4,3,2021-07-01,112
3,4,4,5,2021-07-01,317
2,3,1,1,2021-08-01,20
3,5,4,3,2021-08-01,183
3,7,4,3,2021-08-01,47
2,5,1,1,2021-10-01,1858
3,11,4,3,2021-10-01,164
3,3,4,3,2021-11-01,94
2,9,1,1,2021-12-01,3099
3,10,4,3,2022-01-01,10
3,3,4,4,2021-01-01,95
3,9,,5,2021-01-01,1
3,11,4,3,2021-01-01,51
1,9,4,6,2021-04-01,1
1,9,4,7,2021-05-01,3
1,9,4,6,2021-05-01,4
3,8,4,3,2021-05-01,65
3,3,4,3,2021-06-01,135
3,10,4,4,2021-06-01,24
3,11,4,5,2021-06-01,702
1,9,4,6,2021-07-01,3
1,5,4,7,2021-08-01,1
3,11,4,3,2021-08-01,151
3,5,4,3,2021-09-01,213
3,11,4,5,2021-09-01,86
3,12,4,3,2021-09-01,160
1,9,4,6,2021-10-01,7
3,7,4,4,2021-10-01,39
3,12,4,4,2021-10-01,88
1,8,4,6,2021-11-01,1
2,12,1,1,2021-11-01,1260
3,5,4,4,2021-11-01,169
3,12,4,4,2021-11-01,171
2,12,1,1,2021-12-01,851
3,1,4,3,2021-12-01,5
3,11,4,4,2021-12-01,160
3,11,4,3,2021-12-01,176
3,12,4,4,2021-12-01,149
3,5,4,4,2021-01-01,172
3,12,4,5,2021-01-01,443
3,5,4,3,2021-02-01,32
3,9,4,3,2021-02-01,276
3,10,4,4,2021-02-01,33
3,3,4,5,2021-03-01,1155
3,5,4,4,2021-03-01,78
3,8,4,4,2021-03-01,59
3,9,4,5,2021-03-01,3437
2,3,1,1,2021-05-01,215
3,3,4,4,2021-05-01,135
2,4,1,1,2021-06-01,962
2,12,1,1,2021-06-01,804
3,5,4,3,2021-06-01,174
3,6,4,5,2021-06-01,52
3,12,4,3,2021-07-01,108
1,8,4,7,2021-08-01,1
3,3,4,4,2021-08-01,62
3,3,4,3,2021-08-01,87
3,7,4,5,2021-08-01,209
3,8,4,5,2021-09-01,643
3,9,4,5,2021-10-01,1713
3,10,4,5,2021-10-01,235
1,9,4,7,2021-11-01,4
1,10,4,8,2021-11-01,1
3,3,4,5,2021-11-01,256
3,10,4,3,2021-11-01,57
3,11,4,4,2021-11-01,169
2,4,1,1,2021-12-01,1021
3,8,4,5,2021-12-01,112
3,10,4,5,2021-12-01,177
2,5,1,1,2022-01-01,172
3,11,4,3,2022-01-01,330
1,3,4,7,2021-01-01,1
3,6,4,5,2021-01-01,83
3,9,4,3,2021-01-01,307
3,3,4,5,2021-02-01,816
3,8,4,4,2021-02-01,81
3,12,4,5,2021-03-01,488
2,4,1,1,2021-04-01,347
3,4,4,4,2021-04-01,35
3,10,4,4,2021-04-01,65
2,12,1,1,2021-05-01,1305
3,11,4,4,2021-05-01,211
1,9,4,7,2021-06-01,4
3,8,4,3,2021-07-01,161
3,9,4,3,2021-07-01,425
3,11,4,5,2021-07-01,798
1,5,4,6,2021-08-01,2
3,5,4,4,2021-08-01,476
3,11,4,5,2021-08-01,616
3,12,4,4,2021-08-01,72
3,3,4,4,2021-09-01,51
3,8,4,4,2021-09-01,114
3,10,4,4,2021-10-01,31
3,12,4,3,2021-10-01,123
3,4,4,5,2021-11-01,201
3,7,4,3,2021-11-01,99
3,7,4,5,2021-11-01,287
3,9,4,3,2021-11-01,411
3,10,4,5,2021-11-01,234
3,5,4,5,2021-12-01,609
3,12,4,5,2021-12-01,197
2,4,1,1,2022-01-01,678
1,9,4,6,2021-01-01,3
1,9,4,7,2021-01-01,5
3,5,4,5,2021-01-01,809
3,8,4,5,2021-01-01,364
1,8,4,6,2021-02-01,1
3,8,4,3,2021-02-01,51
1,9,4,8,2021-03-01,3
3,5,4,5,2021-03-01,495
3,3,4,4,2021-04-01,100
3,11,4,3,2021-05-01,119
3,4,,2,2021-06-01,5
2,12,1,1,2021-01-01,422
2,12,1,1,2021-02-01,395
1,9,4,7,2021-03-01,2
3,8,4,3,2021-03-01,31
3,10,4,3,2021-03-01,12
3,8,4,4,2021-04-01,98
1,5,4,8,2021-05-01,1
3,5,4,4,2021-05-01,282
1,5,4,8,2021-06-01,2
1,5,4,6,2021-06-01,3
1,12,4,6,2021-06-01,2
3,5,4,5,2021-06-01,781
3,8,4,4,2021-06-01,128
3,9,4,5,2021-06-01,2117
3,12,4,3,2021-06-01,138
3,12,4,5,2021-06-01,536
1,5,4,6,2021-07-01,7
1,11,4,6,2021-07-01,1
2,9,1,1,2021-07-01,5205
3,3,4,5,2021-07-01,257
3,4,4,4,2021-07-01,102
3,5,,2,2021-07-01,1
3,11,4,3,2021-07-01,212
3,12,4,4,2021-07-01,128
3,5,,2,2021-08-01,4
3,10,4,3,2021-08-01,130
3,3,4,4,2021-10-01,60
3,10,4,3,2021-10-01,36
1,5,4,6,2021-11-01,1
3,9,4,5,2021-11-01,724
1,12,4,7,2021-12-01,1
1,9,4,7,2022-01-01,2
2,12,1,1,2022-01-01,748
3,8,4,4,2022-01-01,25
3,10,4,5,2022-01-01,51
1,11,4,6,2021-08-01,2
3,5,4,5,2021-08-01,1697
3,10,4,4,2021-08-01,81
1,9,4,6,2021-09-01,8
2,9,1,1,2021-09-01,4811
3,4,4,3,2021-09-01,43
3,5,,2,2021-09-01,2
1,9,4,8,2021-10-01,1
3,5,4,4,2021-10-01,251
3,11,4,5,2021-10-01,622
3,4,4,4,2021-11-01,49
3,12,4,5,2021-11-01,195
1,7,4,6,2021-12-01,1
1,9,4,7,2021-12-01,1
2,3,1,1,2021-12-01,194
3,3,4,4,2021-12-01,136
3,4,4,4,2021-12-01,151
3,9,4,3,2021-12-01,441
3,9,4,5,2021-12-01,711
3,5,4,4,2022-01-01,221
3,5,4,3,2022-01-01,224
3,12,4,4,2022-01-01,99
1,6,4,6,2021-01-01,1
2,9,1,1,2021-01-01,6330
3,6,4,3,2021-01-01,7
3,9,4,4,2021-01-01,435
3,9,4,5,2021-01-01,2991
1,9,4,7,2021-02-01,4
3,3,4,3,2021-02-01,89
3,3,4,4,2021-02-01,106
3,10,4,5,2021-03-01,418
3,11,4,5,2021-03-01,839
1,6,4,8,2021-04-01,1
2,12,1,1,2021-04-01,531
3,6,4,3,2021-04-01,6
3,8,4,5,2021-04-01,750
3,9,4,4,2021-04-01,469
3,11,4,3,2021-04-01,119
3,12,4,3,2021-04-01,65
3,9,4,3,2021-05-01,365
3,9,4,4,2021-05-01,445
3,10,4,3,2021-05-01,47
3,10,4,5,2021-05-01,568
3,3,4,4,2021-06-01,84
3,11,4,4,2021-06-01,165
3,12,4,4,2021-06-01,115
3,10,4,4,2021-01-01,17
3,10,4,5,2021-01-01,154
3,12,4,4,2021-01-01,66
1,12,4,6,2021-02-01,2
3,10,4,5,2021-02-01,339
3,12,4,3,2021-02-01,55
3,12,4,4,2021-03-01,74
3,4,4,3,2021-04-01,7
3,5,4,4,2021-04-01,164
3,5,4,5,2021-04-01,948
3,8,4,5,2021-05-01,540
3,11,4,5,2021-05-01,794
1,9,4,6,2021-06-01,5
3,4,4,3,2021-06-01,14
3,5,,2,2021-06-01,3
3,4,4,3,2021-07-01,56
3,8,4,4,2021-07-01,137
3,9,4,4,2021-07-01,316
2,9,1,1,2021-08-01,4143
3,1,4,3,2021-08-01,13
3,3,4,5,2021-08-01,247
3,7,4,5,2021-09-01,260
3,8,4,3,2021-10-01,109
2,4,1,1,2021-11-01,1740
3,3,4,4,2021-11-01,64
3,11,4,5,2021-11-01,292
3,4,4,3,2021-12-01,149
3,4,4,5,2021-12-01,380
3,7,4,4,2022-01-01,22
3,7,4,5,2022-01-01,236
3,8,4,3,2022-01-01,29
2,5,1,1,2021-08-01,1853
3,8,4,3,2021-08-01,148
1,8,4,6,2021-09-01,1
2,4,1,1,2021-09-01,1723
3,7,4,4,2021-09-01,54
1,5,4,6,2021-10-01,1
1,9,4,7,2021-10-01,2
3,3,4,5,2021-10-01,345
3,7,4,5,2021-10-01,279
3,8,4,5,2021-10-01,362
2,9,1,1,2022-01-01,2022
3,12,4,3,2022-01-01,103
2,3,1,1,2021-01-01,41
3,11,4,5,2021-01-01,478
1,9,4,8,2021-02-01,1
2,9,1,1,2021-02-01,6508
3,9,4,5,2021-02-01,3275
1,3,4,6,2021-03-01,1
3,3,4,4,2021-03-01,125
3,10,4,4,2021-03-01,26
3,12,4,3,2021-03-01,46
1,6,4,6,2021-04-01,1
3,5,4,3,2021-04-01,37
3,6,4,3,2021-05-01,9
1,9,4,7,2021-07-01,4
2,12,1,1,2021-07-01,832
3,5,4,3,2021-07-01,254
3,6,4,4,2021-07-01,4
3,10,4,5,2021-07-01,223
1,12,4,6,2021-08-01,2
3,4,4,4,2021-08-01,194
3,5,4,5,2021-09-01,1446
3,9,4,4,2021-09-01,347
3,9,4,3,2021-09-01,456
3,9,4,5,2021-09-01,1894
3,12,4,5,2021-09-01,735
3,4,4,4,2021-10-01,72
3,1,4,3,2021-11-01,5
1,9,4,6,2021-12-01,4
3,3,4,5,2021-12-01,374
3,5,4,3,2021-12-01,131
3,9,4,4,2021-12-01,320
3,9,4,5,2022-01-01,803
3,10,4,4,2022-01-01,7
3,3,4,5,2021-01-01,939
3,4,4,5,2021-02-01,1
1,12,4,6,2021-03-01,2
3,6,4,4,2021-04-01,37
3,10,4,3,2021-04-01,40
3,11,4,5,2021-04-01,1013
3,5,4,5,2021-05-01,1339
3,12,4,5,2021-05-01,384
3,6,4,3,2021-06-01,11
3,8,4,5,2021-06-01,444
1,5,4,7,2021-07-01,2
3,5,4,4,2021-07-01,328
3,4,,2,2021-08-01,7
3,4,4,5,2021-08-01,458
3,8,4,4,2021-08-01,107
3,9,4,5,2021-08-01,1628
3,4,4,4,2021-09-01,143
3,10,4,3,2021-09-01,91
3,11,4,3,2021-09-01,26
3,4,4,3,2021-10-01,58
3,5,4,3,2021-10-01,148
1,12,4,6,2021-11-01,6
2,5,1,1,2021-11-01,2093
3,7,4,4,2021-11-01,40
3,12,4,3,2021-11-01,190
1,3,4,8,2021-12-01,1
1,9,4,8,2021-12-01,1
3,7,4,5,2021-12-01,232
3,9,4,4,2021-10-01,317
3,9,4,4,2021-11-01,257
2,7,1,1,2021-12-01,330
3,5,4,4,2021-12-01,192
3,10,4,3,2021-12-01,31
1,5,4,7,2022-01-01,1
3,3,4,3,2022-01-01,71
3,4,4,4,2022-01-01,126
3,9,4,4,2022-01-01,372
1,9,4,8,2021-01-01,2
1,11,4,6,2021-01-01,3
3,8,4,3,2021-01-01,33
3,12,4,3,2021-01-01,46
1,9,4,6,2021-02-01,3
3,5,4,4,2021-02-01,84
3,12,4,4,2021-02-01,50
3,12,4,5,2021-02-01,386
2,12,1,1,2021-03-01,1074
3,11,4,3,2021-03-01,81
1,5,4,6,2021-04-01,3
1,11,4,6,2021-04-01,2
2,5,1,1,2021-04-01,233
3,11,4,4,2021-04-01,238
3,12,4,4,2021-04-01,66
1,9,4,8,2021-05-01,1
2,4,1,1,2021-05-01,798
2,9,1,1,2021-05-01,3464
3,5,4,3,2021-05-01,98
3,8,4,4,2021-05-01,107
3,3,4,5,2021-06-01,593
3,4,4,4,2021-06-01,256
3,9,4,3,2021-06-01,442
3,10,4,3,2021-06-01,50
1,9,4,8,2021-07-01,1
3,3,4,4,2021-07-01,63
1,9,4,6,2021-08-01,6
3,4,4,3,2021-08-01,65
3,12,4,5,2021-08-01,403
1,12,4,6,2021-09-01,2
3,3,4,5,2021-09-01,287
3,10,4,4,2021-09-01,74
2,4,1,1,2021-10-01,1964
3,4,4,5,2021-10-01,455
1,3,4,6,2021-11-01,1
2,9,1,1,2021-11-01,4392
2,5,1,1,2021-12-01,637
3,12,4,3,2021-12-01,205
1,5,4,6,2022-01-01,3
2,3,1,1,2021-02-01,762
3,8,4,5,2021-02-01,414
2,9,1,1,2021-03-01,6943
3,3,4,3,2021-04-01,78
3,9,4,5,2021-04-01,3512
2,5,1,1,2021-05-01,1041
